,value
230,5538
231,43191
232,47248
233,56057
234,36880
235,7421
236,30342
237,93790
238,53132
239,47569
240,8088
241,2077
242,71652
243,77575
244,47712
245,84548
246,45989
247,41413
248,63895
249,30343
250,74069
251,83419
252,12477
253,99900
254,76496
255,31944
256,1821
257,55803
258,92200
259,71754
260,64687
261,40318
262,36017
263,93525
264,93677
265,55472
266,79653
267,4092
268,54074
269,30320
270,65881
271,80182
272,15917
273,15879
274,42432
275,84514
276,59510
277,18225
278,15785
279,92030
280,24552
281,44193
282,82242
283,59070
284,70702
285,22834
286,63397
287,85677
288,48381
289,75403
290,47610
291,19208
292,26384
293,18710
294,46906
295,57059
296,56063
297,82101
298,40807
299,27117
300,54083
301,48557
302,75158
303,17045
304,78005
305,74236
306,48238
307,53874
308,67403
309,48562
310,25332
311,365
312,25323
313,19632
314,65241
315,64285
316,49946
317,66223
318,10205
319,54850
320,90958
321,68127
322,14772
323,11123
324,80062
325,4686
326,47160
327,21794
328,36448
329,71651
330,69715
331,93896
332,87148
333,28768
334,53877
335,35879
336,80656
337,39000
338,78202
339,36936
340,60678
341,91458
342,50719
343,89422
344,52032
345,24895
346,19571
347,41317
348,21690
349,3207
350,25117
351,4650
352,93436
353,2201
354,22857
355,75336
356,90321
357,49852
358,60617
359,74140
360,7951
361,61796
362,85794
363,50155
364,27181
365,68690
366,36362
367,43270
368,76336
369,22545
370,69087
371,42128
372,8183
373,44296
374,6980
375,74141
376,92925
377,83283
378,76971
379,72165
380,88505
381,72046
382,44900
383,32411
384,61978
385,96090
386,76823
387,66155
388,40117
389,12539
390,13995
391,38793
392,36538
393,17561
394,12809
395,83531
396,36103
397,70697
398,8718
399,99701
400,66635
401,7861
402,13484
403,93052
404,79788
405,305
406,99867
407,39729
408,65961
409,72708
410,2051
411,15860
412,54905
413,17743
414,98111
415,29442
416,45712
417,24526
418,39448
419,55652
420,42262
421,58416
422,69292
423,30409
424,7300
425,60919
426,83375
427,92979
428,82475
429,91503
430,35352
431,51899
432,18955
433,27924
434,52371
435,79544
436,53456
437,62289
438,93500
439,64255
440,97958
441,87367
442,73948
443,21009
444,85309
445,43741
446,82139
447,34403
448,53841
449,96606
450,74701
451,2839
452,30297
453,59527
454,41687
455,26742
456,42785
457,94994
458,36789
459,64400
460,73189
461,89225
462,80432
463,43570
464,50604
465,17137
466,11064
467,4272
468,73473
469,46252
470,93417
471,62979
472,35984
473,76919
474,25565
475,36143
476,29053
477,71559
478,34615
479,15313
480,39797
481,12077
482,96664
483,37343
484,18399
485,65775
486,4913
487,65867
488,79141
489,56805
490,24881
491,14262
492,61065
493,43283
494,30905
495,73539
496,12582
497,70714
498,32227
499,36802
500,15514
501,60644
502,85847
503,5855
504,67859
505,30140
506,52472
507,97892
508,53179
509,12956
510,88632
511,950
512,14749
513,57401
514,5783
515,94224
516,96346
517,21124
518,7577
519,63991
520,54881
521,49030
522,52285
523,75448
524,44834
525,70209
526,71513
527,81198
528,53289
529,40107
530,96201
531,49541
532,91428
533,30282
534,82090
535,13848
536,26962
537,4096
538,22771
539,13938
540,3948
541,43122
542,8334
543,66178
544,68742
545,50435
546,37071
547,5447
548,81839
549,78081
550,51240
551,31154
552,81369
553,21360
554,50232
555,38174
556,81660
557,29761
558,51215
559,73075
560,22145
561,25503
562,985
563,84315
564,65935
565,63055
566,94339
567,97649
568,55915
569,84996
570,40945
571,29320
572,4069
573,68261
574,75283
575,37667
576,17132
577,26490
578,39504
579,45558
580,27468
581,86157
582,17353
583,17376
584,57711
585,59662
586,26587
587,89234
588,64123
589,92926
590,76962
591,18496
592,22305
593,41208
594,85603
595,90222
596,23246
597,10974
598,493
599,39744
600,29512
601,74559
602,21030
603,46840
604,20170
605,52688
606,72675
607,82585
608,80434
609,42794
610,72062
611,35892
612,91907
613,24108
614,20128
615,79649
616,44957
617,66691
618,83942
619,56583
620,92896
621,94464
622,59809
623,85208
624,64606
625,78778
626,92061
627,51277
628,5151
629,67908
630,45824
631,39214
632,98474
633,36732
634,87474
635,71825
636,48493
637,18008
638,42845
639,44760
640,36787
641,89242
642,75442
643,90595
644,95507
645,85025
646,36232
647,88188
648,24225
649,93183
650,71617
651,74350
652,40428
653,47094
654,30611
655,52619
656,41609
657,980
658,33474
659,8649
660,67702
661,71400
662,38
663,44765
664,28186
665,97327
666,82382
667,43808
668,39913
669,56917
670,4178
671,23009
672,24239
673,7130
674,46019
675,82245
676,15834
677,1478
678,46506
679,16627
680,46745
681,22984
682,30034
683,2757
684,72237
685,69378
686,23496
687,20107
688,82108
689,18131
690,40111
691,29665
692,73127
693,47825
694,26459
695,30745
696,13193
697,521
698,11948
699,27122
700,97034
701,65072
702,20931
703,22740
704,20413
705,52324
706,6821
707,85510
708,28911
709,64200
710,49811
711,26838
712,79163
713,46215
714,72128
715,70533
716,10004
717,86051
718,93715
719,44034
720,37882
721,86995
722,87683
723,98567
724,35885
725,88889
726,68824
727,42013
728,39734
729,23109
730,25874
731,60646
732,29657
733,48256
734,39154
735,59480
736,8482
737,7569
738,66561
739,24729
740,76263
741,43291
742,47604
743,91201
744,45170
745,64900
746,14432
747,80408
748,59706
749,14332
750,33659
751,14218
752,55130
753,42512
754,83847
755,30394
756,74647
757,17271
758,99851
759,31913
760,18203
761,2187
762,14303
763,16867
764,80464
765,89192
766,51097
767,63882
768,1369
769,30677
770,77053
771,84045
772,24070
773,95679
774,45364
775,83703
776,83884
777,79086
778,5346
779,82220
780,22756
781,42581
782,82658
783,68063
784,65659
785,71336
786,41746
787,22813
788,59005
789,63708
790,80797
791,89848
792,71185
793,74989
794,19029
795,75899
796,37961
797,85899
798,98817
799,70709
800,84723
801,48862
802,48175
803,98930
804,18942
805,12687
806,56919
807,18568
808,90025
809,8301
810,18393
811,10959
812,90118
813,46107
814,98924
815,17490
816,78344
817,30737
818,63250
819,90209
820,94105
821,52641
822,2717
823,49675
824,65126
825,84791
826,76085
827,96076
828,61342
829,43098
830,84527
831,65406
832,11595
833,11696
834,92918
835,57993
836,47597
837,49546
838,13399
839,39626
840,39482
841,3431
842,81057
843,20585
844,22310
845,81715
846,53576
847,30699
848,74208
849,14313
850,83347
851,25204
852,46509
853,30006
854,37680
855,74600
856,10963
857,36857
858,46154
859,92473
860,38948
861,60668
862,86074
863,40073
864,14747
865,48943
866,15301
867,13428
868,86106
869,26587
870,73933
871,78978
872,36947
873,60739
874,96443
875,37636
876,73728
877,2228
878,9089
879,52353
880,1888
881,2917
882,87330
883,74823
884,93889
885,2607
886,86696
887,69174
888,71714
889,39818
890,72749
891,7925
892,87172
893,80453
894,36719
895,35119
896,21799
897,74083
898,79993
899,68912
900,8391
901,51570
902,61070
903,82806
904,3788
905,7064
906,1352
907,54040
908,1181
909,3225
910,84489
911,36802
912,25301
913,80051
914,86786
915,27014
916,83263
917,71792
918,12045
919,67910
920,34005
921,44717
922,13139
923,85423
924,51958
925,99784
926,78499
927,46648
928,20422
929,10806
930,13536
931,56721
932,27695
933,26865
934,70142
935,34805
936,28610
937,78017
938,74560
939,90273
940,33180
941,29933
942,68577
943,77243
944,7506
945,27497
946,62680
947,23477
948,8378
949,33953
950,12693
951,34846
952,76424
953,84896
954,71284
955,59181
956,95219
957,63847
958,91909
959,65146
960,73793
961,57391
962,5613
963,32616
964,62679
965,36624
966,78897
967,98769
968,51634
969,16573
970,56945
971,72009
972,56689
973,78063
974,97910
975,70248
976,25657
977,33379
978,34867
979,86690
980,8500
981,63937
982,94496
983,47757
984,68554
985,55206
986,56932
987,62565
988,94233
989,16336
990,67276
991,51236
992,73439
993,11280
994,35217
995,89209
996,55734
997,93234
998,5545
999,90662
1000,90118
1001,99656
1002,28025
1003,43827
1004,88185
1005,8051
1006,63907
1007,88888
1008,19347
1009,3750
1010,10657
1011,15742
1012,73261
1013,23602
1014,57482
1015,62633
1016,37888
1017,52176
1018,32871
1019,86683
1020,17907
1021,63335
1022,39801
1023,14729
1024,15509
1025,57061
1026,50502
1027,9197
1028,92125
1029,48274
1030,44714
1031,88201
1032,65559
1033,87743
1034,62208
1035,43404
1036,24521
1037,84954
1038,48517
1039,67670
1040,39973
1041,59533
1042,81127
1043,98430
1044,11103
1045,96934
1046,94880
1047,967
1048,7292
1049,87499
1050,88134
1051,18365
1052,57201
1053,47108
1054,29180
1055,38769
1056,40891
1057,41397
1058,84919
1059,91451
1060,75480
1061,1083
1062,74210
1063,12352
1064,89068
1065,888
1066,96765
1067,41594
1068,69365
1069,81870
1070,16422
1071,30002
1072,8144
1073,23999
1074,51033
1075,86081
1076,61723
1077,90374
1078,7988
1079,69816
1080,61488
1081,6568
1082,38564
1083,49992
1084,89487
1085,48534
1086,50377
1087,95685
1088,75352
1089,25674
1090,88572
1091,26801
1092,51015
1093,54969
1094,73035
1095,69035
1096,48787
1097,84505
1098,92972
1099,66869
1100,77446
1101,53000
1102,76049
1103,63681
1104,56375
1105,17471
1106,59591
1107,53818
1108,15571
1109,42361
1110,35785
1111,61626
1112,20392
1113,51999
1114,24568
1115,4654
1116,14686
1117,30999
1118,88925
1119,61001
1120,93856
1121,77758
1122,73743
1123,65035
1124,40641
1125,4906
1126,83068
1127,48759
1128,91290
1129,57518
1130,63578
1131,33160
1132,5934
1133,56291
1134,75731
1135,11977
1136,99178
1137,59501
1138,8180
1139,73396
1140,17014
1141,66127
1142,24733
1143,87432
1144,45549
1145,89297
1146,37742
1147,88679
1148,36065
1149,34375
1150,84665
1151,49776
1152,94110
1153,35042
1154,43633
1155,17947
1156,18636
1157,99562
1158,24323
1159,6201
1160,39880
1161,64891
1162,718
1163,32124
1164,91354
1165,42714
1166,21935
1167,86286
1168,4678
1169,63596
1170,60340
1171,25358
1172,70736
1173,73718
1174,81355
1175,55061
1176,72058
1177,26117
1178,70154
1179,58532
1180,96939
1181,45171
1182,5378
1183,49865
1184,98997
1185,89333
1186,55494
1187,84594
1188,80284
1189,47047
1190,41453
1191,6681
1192,60359
1193,20795
1194,97822
1195,89939
1196,19652
1197,99337
1198,74459
1199,1095
1200,314
1201,52696
1202,76426
1203,11278
1204,47965
1205,54177
1206,72479
1207,45399
1208,18901
1209,22102
1210,5891
1211,37356
1212,3426
1213,35564
1214,92100
1215,86237
1216,75988
1217,26344
1218,53097
1219,59657
1220,10619
1221,2000
1222,47734
1223,26636
1224,57260
1225,17080
1226,26346
1227,87633
1228,20423
1229,24188
1230,54055
1231,28698
1232,10751
1233,15051
1234,44090
1235,62166
1236,57605
1237,16393
1238,74263
1239,1612
1240,81390
1241,91469
1242,92752
1243,73913
1244,76620
1245,75828
1246,85528
1247,10671
1248,11762
1249,35963
1250,37482
1251,36825
1252,14214
1253,32933
1254,70889
1255,4096
1256,13056
1257,2945
1258,84070
1259,55081
1260,37071
1261,63455
1262,84438
1263,74338
1264,24023
1265,45007
1266,14065
1267,60733
1268,14834
1269,64568
1270,30043
1271,60419
1272,92366
1273,73206
1274,48711
1275,69220
1276,51446
1277,63504
1278,71013
1279,13129
1280,96911
1281,14527
1282,47178
1283,72157
1284,39974
1285,5590
1286,4886
1287,84496
1288,64596
1289,71855
1290,80052
1291,21353
1292,33309
1293,89084
1294,68420
1295,97630
1296,81253
1297,50482
1298,37826
1299,41214
1300,47260
1301,54969
1302,90726
1303,65920
1304,18833
1305,25634
1306,36447
1307,567
1308,95068
1309,49519
1310,18281
1311,71764
1312,28713
1313,36266
1314,97734
1315,99810
1316,95650
1317,85999
1318,78726
1319,17294
1320,13535
1321,92544
1322,74352
1323,11942
1324,25158
1325,43047
1326,73538
1327,64876
1328,25219
1329,56867
1330,73535
1331,30276
1332,60255
1333,99372
1334,99267
1335,35385
1336,55414
1337,53111
1338,72665
1339,41522
1340,53295
1341,66196
1342,47795
1343,5012
1344,13617
1345,17688
1346,5106
1347,93684
1348,68118
1349,1933
1350,7403
1351,88052
1352,75643
1353,85494
1354,2230
1355,1495
1356,66015
1357,30767
1358,78435
1359,40296
1360,87814
1361,58521
1362,2638
1363,26285
1364,89734
1365,22969
1366,40404
1367,88168
1368,56888
1369,65855
1370,47247
1371,31714
1372,71149
1373,54729
1374,93231
1375,20562
1376,33022
1377,18901
1378,99707
1379,45164
1380,3860
1381,97999
1382,43132
1383,52931
1384,18932
1385,22769
1386,75246
1387,37683
1388,31453
1389,63713
1390,13467
1391,98381
1392,49308
1393,5194
1394,33767
1395,96891
1396,73820
1397,9471
1398,55178
1399,44646
1400,34998
1401,12568
1402,3523
1403,59279
1404,88857
1405,44958
1406,40240
1407,2368
1408,46356
1409,40982
1410,5393
1411,57023
1412,99092
1413,61888
1414,7652
1415,2522
1416,58712
1417,98683
1418,52609
1419,97683
1420,94877
1421,28496
1422,89316
1423,17773
1424,22537
1425,6969
1426,17637
1427,75435
1428,87779
1429,72123
1430,22663
1431,82454
1432,10063
1433,39247
1434,29225
1435,68089
1436,49084
1437,70036
1438,75066
1439,33612
1440,49468
1441,73730
1442,46458
1443,91408
1444,48431
1445,99489
1446,24863
1447,42290
1448,90355
1449,8157
1450,21051
1451,85118
1452,67620
1453,47987
1454,27425
1455,12483
1456,36726
1457,84929
1458,61554
1459,74152
1460,8256
1461,37785
1462,74162
1463,34249
1464,87134
1465,51824
1466,82230
1467,82629
1468,88150
1469,78294
1470,81573
1471,88808
1472,34126
1473,32362
1474,54519
1475,23051
1476,92615
1477,9151
1478,1748
1479,89039
1480,89050
1481,51823
1482,38590
1483,79855
1484,76904
1485,6506
1486,66859
1487,40496
1488,14463
1489,46556
1490,86730
1491,64063
1492,13579
1493,51591
1494,71924
1495,9511
1496,50862
1497,92849
1498,87482
1499,37036
1500,32066
1501,24295
1502,52290
1503,49338
1504,78758
1505,46204
1506,94714
1507,39285
1508,77845
1509,29568
1510,8170
1511,80164
1512,43269
1513,2569
1514,81069
1515,79984
1516,38833
1517,65079
1518,19245
1519,28973
1520,27726
1521,38932
1522,96575
1523,85976
1524,45831
1525,35237
1526,55133
1527,722
1528,65494
1529,98783
1530,46005
1531,22389
1532,30260
1533,89592
1534,87340
1535,26292
1536,14978
1537,49775
1538,4409
1539,9471
1540,50356
1541,17755
1542,2252
1543,54617
1544,44620
1545,83357
1546,43322
1547,17201
1548,88144
1549,45769
1550,45545
1551,84106
1552,82516
1553,61632
1554,89671
1555,64614
1556,50348
1557,95481
1558,96754
1559,24914
1560,69442
1561,94173
1562,25949
1563,59939
1564,49740
1565,95621
1566,59999
1567,86963
1568,95543
1569,11024
1570,85489
1571,82163
1572,92250
1573,88896
1574,76852
1575,18659
1576,23523
1577,20372
1578,16188
1579,2321
1580,76267
1581,76782
1582,2509
1583,50569
1584,89647
1585,37200
1586,58861
1587,18217
1588,97836
1589,12239
1590,41803
1591,68501
1592,87222
1593,10487
1594,63312
1595,21260
1596,66451
1597,64563
1598,60066
1599,26128
1600,34378
1601,24500
1602,33806
1603,93974
1604,70179
1605,34887
1606,99255
1607,4184
1608,89099
1609,71051
1610,45304
1611,3774
1612,57609
1613,41433
1614,78476
1615,54430
1616,28685
1617,36478
1618,55642
1619,91150
1620,99452
1621,24395
1622,29923
1623,61087
1624,88409
1625,65070
1626,21652
1627,87433
1628,63699
1629,55750
1630,19771
1631,84728
1632,73777
1633,22336
1634,27048
1635,29175
1636,3679
1637,82697
1638,72178
1639,68029
1640,7052
1641,58470
1642,82442
1643,39084
1644,27092
1645,42478
1646,30808
1647,66089
1648,64488
1649,95768
1650,11924
1651,53680
1652,82506
1653,54035
1654,1522
1655,22065
1656,69013
1657,31417
1658,25114
1659,71834
1660,67087
1661,5455
1662,80082
1663,32192
1664,62538
1665,89950
1666,44269
1667,83689
1668,96797
1669,11413
1670,41818
1671,79376
1672,18215
1673,53964
1674,15822
1675,95254
1676,74852
1677,30003
1678,41142
1679,61256
1680,41219
1681,37389
1682,21126
1683,19297
1684,62985
1685,84242
1686,41269
1687,85146
1688,59567
1689,11508
1690,3693
1691,5435
1692,99868
1693,80075
1694,71591
1695,67430
1696,65698
1697,46848
1698,24871
1699,48415
1700,49051
1701,51265
1702,32814
1703,62945
1704,16804
1705,14582
1706,44904
1707,57217
1708,89571
1709,88671
1710,75892
1711,39025
1712,97710
1713,42369
1714,40611
1715,1301
1716,96451
1717,41480
1718,75784
1719,64577
1720,58390
1721,20761
1722,35970
1723,59258
1724,63691
1725,37653
1726,50856
1727,2649
1728,80984
1729,45994
1730,50336
1731,91355
1732,22741
1733,92407
1734,23615
1735,16142
1736,71902
1737,95117
1738,28172
1739,33034
1740,69633
1741,22156
1742,1508
1743,27076
1744,19858
1745,24947
1746,78109
1747,82736
1748,95697
1749,33536
1750,97623
1751,38086
1752,24017
1753,49995
1754,42287
1755,20132
1756,43520
1757,10667
1758,74578
1759,69571
1760,3762
1761,39567
1762,23782
1763,7948
1764,51615
1765,70644
1766,26821
1767,27575
1768,88408
1769,66865
1770,34548
1771,71284
1772,48249
1773,13009
1774,87181
1775,21643
1776,25752
1777,40035
1778,84493
1779,37367
1780,7857
1781,6966
1782,98065
1783,23336
1784,32123
1785,44983
1786,59548
1787,27388
1788,23770
1789,36845
1790,82991
1791,18844
1792,93246
1793,23431
1794,24365
1795,12752
1796,9431
1797,94816
1798,2205
1799,56774
1800,29453
1801,854
1802,28001
1803,58822
1804,19433
1805,91333
1806,22887
1807,95439
1808,83086
1809,5382
1810,27446
1811,10068
1812,55607
1813,90910
1814,2271
1815,86468
1816,9909
1817,45169
1818,22973
1819,71812
1820,25806
1821,21557
1822,16792
1823,53084
1824,32605
1825,39499
1826,98241
1827,37075
1828,8110
1829,72597
1830,69900
1831,13743
1832,35853
1833,88234
1834,61957
1835,62836
1836,46271
1837,83248
1838,75804
1839,48911
1840,15222
1841,22711
1842,91860
1843,49784
1844,99355
1845,46195
1846,65179
1847,73127
1848,73459
1849,46074
1850,29233
1851,71823
1852,39079
1853,16772
1854,65785
1855,54973
1856,47897
1857,31146
1858,89091
1859,6724
1860,27029
1861,27029
1862,31098
1863,67980
1864,81081
1865,23356
1866,18112
1867,51900
1868,33597
1869,19429
1870,7095
1871,13700
1872,93375
1873,68136
1874,14070
1875,59270
1876,98012
1877,54323
1878,60317
1879,40654
1880,2967
1881,3301
1882,79715
1883,18480
1884,91659
1885,59071
1886,3332
1887,2627
1888,4346
1889,41949
1890,20917
1891,65558
1892,5804
1893,18719
1894,432
1895,55344
1896,23693
1897,96237
1898,23836
1899,99757
1900,61873
1901,87505
1902,55004
1903,21757
1904,76540
1905,6316
1906,88631
1907,96783
1908,15979
1909,41517
1910,35930
1911,14172
1912,46690
1913,34983
1914,87320
1915,15296
1916,99188
1917,73773
1918,11716
1919,72904
1920,77055
1921,64770
1922,50936
1923,98474
1924,86488
1925,81874
1926,29506
1927,16606
1928,12247
1929,65964
1930,24792
1931,55178
1932,27924
1933,19818
1934,94523
1935,60262
1936,12606
1937,23291
1938,2866
1939,68672
1940,85031
1941,26233
1942,8937
1943,84177
1944,63098
1945,61013
1946,57686
1947,72750
1948,28504
1949,79987
1950,1652
1951,23005
1952,54876
1953,40798
1954,24286
1955,87952
1956,1946
1957,64072
1958,23962
1959,47886
1960,8588
1961,8379
1962,33649
1963,8832
1964,48863
1965,55687
1966,28616
1967,65745
1968,79578
1969,84281
1970,85861
1971,12142
1972,38963
1973,13951
1974,53261
1975,78376
1976,74880
1977,8675
1978,62292
1979,72066
1980,52368
1981,61873
1982,56479
1983,18386
1984,76814
1985,20620
1986,73135
1987,9261
1988,42849
1989,32676
1990,29982
1991,66446
1992,40544
1993,50550
1994,466
1995,4826
1996,1083
1997,99948
1998,18123
1999,64541
2000,12428
2001,70409
2002,85281
2003,34173
2004,67539
2005,44328
2006,78809
2007,44412
2008,6811
2009,52816
2010,73991
2011,82513
2012,24203
2013,78729
2014,23557
2015,81861
2016,19638
2017,1645
2018,12384
2019,58055
2020,29706
2021,48601
2022,77978
2023,94245
2024,36975
2025,99847
2026,75905
2027,61049
2028,29114
2029,47858
2030,78067
2031,98575
2032,94611
2033,92502
2034,57486
2035,33525
2036,61657
2037,59230
2038,10044
2039,67272
2040,3591
2041,10362
2042,90009
2043,16430
2044,81361
2045,21631
2046,64476
2047,81585
2048,47891
2049,73411
2050,15893
2051,48111
2052,35901
2053,16575
2054,77785
2055,95895
2056,49391
2057,7047
2058,40455
2059,24470
2060,88344
2061,23906
2062,23584
2063,71904
2064,3375
2065,15054
2066,94801
2067,43733
2068,51343
2069,36883
2070,22903
2071,31460
2072,44660
2073,61609
2074,80970
2075,46228
2076,23503
2077,99501
2078,89388
2079,641
2080,10178
2081,78074
2082,27871
2083,46833
2084,30855
2085,70419
2086,90118
2087,40546
2088,13893
2089,14113
2090,74552
2091,28864
2092,19175
2093,38417
2094,51600
2095,31236
2096,4954
2097,14561
2098,88477
2099,29226
2100,28964
2101,44698
2102,14751
2103,2812
2104,82518
2105,51444
2106,46273
2107,23725
2108,17466
2109,33540
2110,38728
2111,33563
2112,99973
2113,78787
2114,6055
2115,80735
2116,31695
2117,20408
2118,93447
2119,40125
2120,51492
2121,85017
2122,46819
2123,71305
2124,71853
2125,14350
2126,9446
2127,18502
2128,11867
2129,69496
2130,84174
2131,77587
2132,69604
2133,16556
2134,55823
2135,51611
2136,60652
2137,61068
2138,63008
2139,34092
2140,47560
2141,77161
2142,76311
2143,2003
2144,47352
2145,3168
2146,55086
2147,26677
2148,68140
2149,57729
2150,40918
2151,53125
2152,65036
2153,10685
2154,61178
2155,32397
2156,65628
2157,24494
2158,53571
2159,838
2160,23616
2161,84637
2162,42409
2163,59826
2164,44754
2165,47594
2166,68440
2167,17535
2168,51552
2169,48839
2170,66274
2171,55922
2172,10609
2173,45206
2174,59628
2175,21156
2176,53609
2177,12135
2178,50102
2179,33979
2180,76270
2181,30610
2182,64180
2183,11343
2184,81627
2185,5756
2186,95025
2187,9929
2188,84773
2189,38523
2190,39361
2191,15316
2192,52570
2193,99410
2194,53138
2195,69462
2196,30904
2197,49292
2198,92566
2199,80728
2200,21110
2201,29927
2202,3326
2203,86304
2204,62083
2205,12522
2206,68820
2207,98947
2208,94586
2209,83788
2210,79788
2211,68839
2212,2856
2213,22264
2214,81118
2215,61120
2216,85025
2217,38937
2218,1811
2219,76053
2220,20369
2221,55642
2222,67291
2223,45819
2224,28896
2225,20496
2226,40962
2227,87641
2228,10401
2229,86174
2230,74063
2231,48676
2232,28448
2233,76299
2234,71218
2235,13072
2236,44635
2237,7305
2238,51885
2239,96435
2240,93220
2241,3970
2242,56576
2243,94341
2244,68540
2245,60065
2246,10437
2247,40672
2248,13017
2249,75340
2250,95371
2251,79058
2252,66764
2253,14675
2254,50066
2255,99817
2256,88264
2257,92606
2258,89136
2259,42293
2260,58400
2261,43630
2262,36598
2263,91875
2264,86004
2265,92771
2266,67298
2267,42742
2268,10414
2269,32125
2270,6874
2271,22833
2272,12369
2273,77708
2274,3998
2275,91243
2276,48752
2277,89746
2278,56050
2279,37079
2280,63119
2281,81141
2282,50794
2283,14607
2284,5979
2285,31861
2286,90850
2287,32423
2288,96020
2289,64873
2290,70442
2291,86609
2292,33493
2293,18542
2294,89239
2295,63168
2296,69115
2297,38324
2298,47399
2299,80185
2300,6563
2301,48930
2302,18485
2303,61750
2304,90531
2305,92313
2306,74367
2307,92016
2308,53337
2309,35849
2310,33691
2311,39290
2312,42663
2313,18393
2314,62087
2315,20087
2316,44549
2317,70004
2318,40657
2319,33875
2320,62647
2321,78186
2322,18232
2323,59150
2324,90229
2325,80241
2326,4573
2327,39881
2328,74303
2329,60144
2330,91091
2331,63388
2332,14436
2333,46274
2334,90281
2335,27007
2336,2315
2337,10911
2338,91187
2339,90936
2340,39670
2341,71863
2342,74847
2343,96255
2344,33531
2345,5574
2346,70739
2347,50613
2348,4986
2349,76060
2350,64939
2351,39197
2352,38495
2353,64566
2354,95504
2355,27827
2356,25661
2357,80836
2358,50945
2359,19444
2360,76481
2361,46390
2362,92776
2363,69210
2364,89175
2365,32431
2366,66829
2367,77753
2368,12343
2369,16410
2370,32155
2371,55850
2372,38914
2373,62127
2374,53533
2375,3331
2376,52480
2377,23862
2378,67444
2379,66007
2380,45490
2381,53188
2382,50966
2383,3606
2384,38630
2385,25150
2386,68450
2387,46274
2388,21767
2389,96675
2390,94460
2391,66985
2392,88974
2393,66849
2394,68180
2395,12183
2396,89068
2397,58701
2398,46848
2399,21314
2400,56053
2401,4078
2402,9479
2403,54024
2404,1180
2405,57934
2406,74900
2407,65999
2408,4594
2409,53722
2410,37580
2411,61878
2412,20473
2413,36890
2414,64161
2415,91883
2416,80709
2417,31982
2418,61906
2419,70995
2420,29288
2421,64500
2422,49258
2423,73365
2424,58116
2425,81656
2426,78629
2427,96263
2428,35020
2429,9602
2430,23011
2431,81955
2432,71457
2433,9276
2434,34154
2435,45682
2436,47203
2437,74950
2438,94280
2439,69377
2440,13522
2441,35526
2442,45780
2443,1678
2444,78357
2445,77214
2446,60322
2447,36676
2448,47646
2449,99973
2450,39324
2451,1797
2452,65563
2453,64565
2454,37481
2455,12032
2456,50511
2457,96613
2458,58040
2459,60781
2460,24554
2461,64554
2462,78517
2463,22918
2464,65045
2465,84661
2466,50347
2467,69463
2468,30524
2469,92953
2470,56694
2471,40169
2472,84924
2473,10587
2474,52121
2475,72821
2476,54080
2477,13493
2478,39351
2479,87341
2480,91870
2481,57889
2482,37353
2483,78863
2484,58441
2485,44966
2486,90303
2487,80718
2488,11984
2489,56
2490,14560
2491,66432
2492,48061
2493,39477
2494,37527
2495,19002
2496,76584
2497,27493
2498,81722
2499,36334
2500,27691
2501,72814
2502,25964
